Club Name,Recordings,Club Identifier,Country,Additional Info
FCM,24,fcm-b679a698,Unknown,
FC Monthey,19,fc-monthey-983b92a9,Switzerland,Monthey
Fc Montlingen (Rheintal),15,fc-montlingen-rheintal,Switzerland,Montlingen
FC Moosburg,31,fc-moosburg-883f213f,Germany,Moosburg
FC MOREDA,16,fc-moreda-uccle,Unknown,
FCMM,34,fc-morteau-montlebon,Unknown,
FC Mortons,17,f-c-mortons,Unknown,
FC MOTHERN,35,fc-mothern,France,Mothern
FC Mougin U12,87,kalvin,France,Mougins
Mougins,68,fc-mougins-70f61761,France,Mougins
FC Mougins Féminines,23,fc-mougins-61f423c2,France,Mougins
FC Mt Pleasant United,24,fc-mt-pleasant-united,United States,Mount Pleasant
FC Munderfing,18,fc-munderfing,Austria,Munderfing
FC Münsterlingen 1947,10,fc-munsterlingeb,Switzerland,Münsterlingen
FC Münzkirchen,44,fc-munzkirchen-0bb15214,Austria,Münzkirchen
FC MURTEN,21,gaetano,Switzerland,Murten
FC MUSTANGS,246,fc-mustangs,Unknown,
FC Mutschellen,132,fc-mutschellen,Switzerland,Mutschellen
FC Mutschellen B1 Junioren,25,fc-mutschellen-630f7bf5,Switzerland,Mutschellen
FC Montco,181,fc-montco-d57ea3f3,United States,Montco
FCM Wolverines,84,steveawesome,United States,
Young Boys Diekirch,128,fcm-young-boys-diekirch-b1f67cb3,Luxembourg,Diekirch
F.C Nahalal Yizrael,66,fc-nahalal-yizrael-ed603859,Israel,Nahalal
FC Nakskov,182,fc-nakskov-2,Denmark,Nakskov
Nassaji,22,fc-nassaji-mazandaran,Iran,
DUFC NATIONAL SOFIA,187,fc-national,Bulgaria,Sofia
FC National,222,iconz-experience,Unknown,
FC NATIONAL 2013,21,perstiseb-ltd,Unknown,
FCND,220,baltimore-celtic-4,Unknown,
FC Neenstetten,70,fc-neenstetten,Germany,Neenstetten
Nefti,44,fc-neftenbach,Unknown,
FC Nelson,124,fc-nelson,United States,Nelson
FC Neman Philadelphia,24,fc-neman-philadelphia,United States,Philadelphia
FC Neu-Anspach,126,fc-neu-anspach-ev,Germany,Neu-Anspach
FC Neuhadern,58,fc-neuhadern-munchen-ev,Germany,Neuhadern
FC Neu-Isenburg e.V.,25,fc-neu-isenburg-ev,Germany,Neu-Isenburg
FC Neukirch,46,fc-neukirch-egnach-fb7394df,Germany,Neukirch
FC Neumünster,16,fc-neumunster,Germany,Neumünster
FC Neustadt,56,fc-neustadt-d6c7c557,Germany,Neustadt
FC NEVERS SENIORS,47,fc-nevers-seniors,France,Nevers
FCNE,10,fc-new-england-fc28efdc,Unknown,
FC Niederlenz,100,fc-niederlenz,Switzerland,Niederlenz
Niederrhein Soccer,73,fc-niederrhein-soccer-ev,Germany,Niederrhein
FC Niederstetten,52,fc-niederstetten-1-mannschaft,Germany,Niederstetten
FC Niederweningen,25,fc-niederweningen-7e275805,Switzerland,Niederweningen
FC Nidi,18,fc-niederweningen-2a5781ce,Unknown,
Hurricanes,94,fc-noble-hurricanes,Unknown,
FC NOIDA,115,fc-noida-football-schools-33c45bba,India,Noida
Fc Nokia -10,304,fc-nokia-10-tytot,Finland,Nokia
FC Nokia ry,240,fc-nokia-ry,Finland,Nokia
FC Nõmme United,12,fc-nomme-united-b1b18fce,Estonia,Nõmme
FC Nordkirchen 1926 e.V.,38,fc-nordkirchen-1926-ev,Germany,Nordkirchen
FC NORDOST,88,fc-nordost-berlin-ev,Unknown,
FCN,10,fc-nordsjaelland-0f96cf8c,Unknown,
FC Nordsjælland,18,fc-nordsjaelland-3,Denmark,Nordsjælland
FCN Girls,875,fcn-girls,Denmark,Nordsjælland
FC Nordsjælland,18,fc-nordsjaelland-3,Denmark,Nordsjælland
FC Nordstern Basel,43,fc-nordstern-basel-f8f3e1a3,Switzerland,Basel
FC Norrsken,31,fc-norrsken,Sweden,Norrsken
FC Northern Apex,47,fc-northern,United States,
NossA八王子,227,fc-nossa,Japan,Hachioji
FC Nöttingen,56,fc-nottingen-67230ef5,Germany,Nöttingen
FC Nöttingen,56,fc-nottingen-67230ef5,Germany,Nöttingen
FC Nottwil,26,fc-nottwil,Switzerland,Nottwil
FC NOVE,71,fc-nove-35e11cd7,Italy,Nove
FC Novi Pazar,90,fc-novi-pazar,Serbia,Novi Pazar
FC Nordsjælland,18,fc-nordsjaelland-3,Denmark,Nordsjælland
FCOB,19,fc-beunoy,Unknown,
FC Oberdiessbach,43,fc-oberdiessbach,Switzerland,Oberdiessbach
FC Oberes Feistritztal,89,fc-oberes-feistritztal-d067504d,Austria,Oberes Feistritztal
FC Oberglatt,48,fc-oberglatt,Switzerland,Oberglatt
FC Oberlausitz Neugersdorf,113,fc-oberlausitz-neugersdorf-ev,Germany,Oberlausitz Neugersdorf
FCO,12,fc-obermodern,Unknown,
FC O,11,fc-oberneuland,Unknown,
FC Oberneuland,55,fc-oberneuland-e1962fcd,Germany,Oberneuland
FC Ober-Ramstadt e.V.,10,fc-ober-ramstadt-ev,Germany,Ober-Ramstadt
Fc Oberwinterthur,42,associazione-sportiva-as-timau-basel,Switzerland,Oberwinterthur
FC Oegstgeest,78,fc-oegstgeest,Netherlands,Oegstgeest
FC Oensingen,12,fc-oensingen,Switzerland,Oensingen
FC Oerlikon/Polizei ZH,80,fc-oerlikonpolizei-zh,Switzerland,Oerlikon
FCOG,59,fc-oetwil-geroldswil-8cab6030,Unknown,
FC Ohlsbach,19,fc-ohlsbach-ev,Germany,Ohlsbach
FC OIZUMI,337,fc-oizumi,Japan,Oizumi
FC Okoličná na Ostrove,16,black-bull-slovakia-sro,Slovakia,Okoličná na Ostrove
FC OLORON RUGBY,44,fc-oloron-rugby,France,Oloron
FC Olympia Bocholt 1911 e. V.,27,fc-olympia-bocholt-1911-e-v,Germany,Bocholt
FC Ommen,87,fc-ommen,Netherlands,Ommen
FC ONESENSE SEISHO,770,club-atletico-coen,Japan,Seisho
FC OPUSONE,970,fc-opusone,Unknown,
Fc Oslo,106,fc-oslo,Norway,Oslo
Fc Oudewater,118,fc-oudewater-3cf9bbb9,Netherlands,Oudewater
Fc Oudewater (1st team),11,fc-oudewater-1st-team,Netherlands,Oudewater
FC OUEST,51,fc-ouest,France,Ouest
FC OUEST TOURANGEAU,36,fc-ouest-tourangeau,France,Ouest Tourangeau
FC. OXALA,35,fc-oxala,Unknown,
OXFORD HEMIKSEM,219,fc-oxford-hemiksem,Belgium,Hemiksem
FK Palmira 2010.,82,fk-palmira-2010,Unknown,
FC PAMIERS,49,fc-pamiers,France,Pamiers
FC Papo soccer,13,fc-papo-soccer,Unknown,
FC Paradiso,84,fc-paradiso,Switzerland,Paradiso
FC PATSCHERKOFEL,70,fc-patscherkofel,Austria,Patscherkofel
FC Pays de l'Arbresle,24,fc-pays-de-larbresle,France,Pays de l'Arbresle
Fc Pays Langeaisien,25,fc-pays-langeaisien-e3f7deb1,France,Pays Langeaisien
FC PAYS MAZAMETAIN,88,fc-pays-mazametain,France,Pays Mazamétain
FC PAYS MONTRESOROIS,31,fc-pays-montresorois,France,Pays Montresor
Fc Pays Rhénan,39,fc-pays-rhenan,France,Pays Rhénan
FC PBS Velká Bíteš,59,fc-pbs-velka-bites-b4559b5e,Czech Republic,Velká Bíteš
FC PBS Velká Bíteš,59,fc-pbs-velka-bites-b4559b5e,Czech Republic,Velká Bíteš
FC Perigny,49,fc-perigny,France,Perigny
FC Perly Certoux,108,fc-perly-certoux,Switzerland,Perly-Certoux
FC Pesch,52,fc-pesch-8ca80ad6,Germany,Pesch
FC Pesch,52,fc-pesch-8ca80ad6,Germany,Pesch
FC Pessac Alouette,13,fc-pessac-alouette,France,Pessac
FC Peterborough,180,fc-peterborough,England,Peterborough
FC Petrocub London,57,fc-petrocub-london,England,London
FC Pfyn,15,fc-pfyn-3947d874,Switzerland,Pfyn
Phönix München,54,fc-phonix-munchen,Germany,Munich
Fc Pietricica,11,fc-pietricica,Romania,Pietricica
FCPS,304,fc-pinzgau-saalfelden,Unknown,
FC Pipinsried Fussball GmbH,13,fc-pipinsried-fussball-gmbh,Germany,Pipinsried
Pirin,924,hlapetata,Bulgaria,
FC Písek,247,fc-pisek,Czech Republic,Písek
FC Písek - FAČR,23,fc-pisek-fotbal,Czech Republic,Písek
FC Pittsburgh,10,fc-pittsburgh-3,United States,Pittsburgh
FC Pittsburgh Soccer Club,41,fc-pittsburgh-soccer-club,United States,Pittsburgh
FC PLANET,1604,fc-planet,Unknown,
F.C PLAUZAT CHAMPEIX,16,fc-plauzat-champeix-ae234e39,France,Plauzat & Champeix
FC PLAYFUL HAKODATE,540,playful-hakodate,Japan,Hakodate
FC PLO 2ème Ligue Genève,15,fc-plo-2eme-ligue-interregionale,Switzerland,PLO
Fc Ploemeur,42,football-club-de-ploemeur-56-4fd755fe,France,Ploemeur
FC PLOUAGAT CHATELAUDREN LANRODEC,20,fc-plouagat-chatelaudren-lanrodec-21897d5d,France,Plouagat
FC POCONO 04/05,56,fc-pocono,United States,Pocono
FC Poliez-Pittet,101,fc-poliez-pittet,Switzerland,Poliez-Pittet
FC PORTA,180,fc-porta,Unknown,
FC Portland,15,fc-portland-ad489d69,United States,Portland
FC Portland Soccer Academy,1122,fc-portland-soccer-academy,United States,Portland
FCPPA,85,fc-porto-portugais-d-amiens,Unknown,
FC PORTUS BATUMI,62,fcportus,Georgia,Batumi
FC Prangins Sport,106,fc-prangins-sport,Switzerland,Prangins
FC Pratteln,14,fc-pratteln,Switzerland,Pratteln
FC Přední Kopanina spolek,44,fc-predni-kopanina-spolek,Czech Republic,Přední Kopanina
FC Premier,16,fc-premier-c3391fb6,Unknown,
FC Premier,16,fc-premier-c3391fb6,Unknown,
FC Premier G2007-2011,71,fc-premier-6b79806b,Unknown,
FC Premier,16,fc-premier-c3391fb6,Unknown,
FC Premier,16,fc-premier-c3391fb6,Unknown,
Valencia,119,fc-premier-cc718c91,Spain,Valencia
FC Premier,16,fc-premier-c3391fb6,Unknown,
FC Premier,16,fc-premier-c3391fb6,Unknown,
FC Premier EA2,132,fc-premier-coerver-elite,Unknown,
FCP Reserves,15,fcp-reserves,Unknown,
FC Preußen Espelkamp,107,fc-preuen-espelkamp-7bce54ef,Germany,Espelkamp
FC Preussen Hameln,25,fc-preussen-hameln,Germany,Hameln
FC Pride,64,shawn,Unknown,
FC Pride 2008 Boys ECNL Team Account,32,fc-pride-2008-boys-ecnl-team-account,United States,
FC Prime,16,fc-prime-4bf859c2,Unknown,
FC Prime,16,fc-prime-4bf859c2,Unknown,
FC PRIME,337,fc-prime-16,Unknown,
FC PRIME,337,fc-prime-16,Unknown,
FC PRIME,337,fc-prime-16,Unknown,
FC Prime 2012,70,fc-prime-2012,Unknown,
FC-Prime,126,fc-prime-2013-girls-elite,Unknown,
FC Prime 2014,85,fc-prime-2014-miami-girls,Unknown,
FC Prime ECNL G08,40,strikers-miami-fc-girls-2006,United States,
FC Prime - Miami,72,fc-prime-miami-1d1e35e6,United States,Miami
FC PROGRES NIEDERKORN,44,fc-progres-niederkorn-81cd9a3f,Luxembourg,Niederkorn
FC PRO PALAZZOLO,138,franciacorta-football-club,Italy,Palazzolo
FC Puchheim e.V.,51,fc-puchheim-ev,Germany,Puchheim
FCPC,77,fc-puidoux-chexbres,Unknown,
Fc Pulnoy,24,fc-pulnoy,France,Pulnoy
FC Purkersdorf,18,fc-purkersdorf-cbc37869,Austria,Purkersdorf
FC Pyunik,458,fc-pyunik-ngo,Armenia,
FC QUIMPERLE,18,fc-quimperle-pole-feminin,France,Quimperlé
FC Rosengård,11,fcr,Sweden,Rosengård
FCR,38,fcr-ebedb220,Unknown,
FC Raahe,361,fc-raahe-ry,Finland,Raahe
FC Racing Troisvierges,43,fc-racing-troisvierges,Luxembourg,Troisvierges
RAISMES,23,martinez-sebastien,France,Raismes
FC RAPID 2013,57,fc-rapid-1923-56465fd5,Unknown,
FC BACAU,196,academia-fc-bacau,Romania,Bacau
FC Rapid-Montreux,29,fc-rapid-montreux,Switzerland,Montreux
FC Rapperswil Jona,76,fc-rapperswil-jona-frauen,Switzerland,Rapperswil-Jona
FC Rapperswil-Jona Youth Academy,35,fc-rapperswil-jona-youth-academy,Switzerland,Rapperswil-Jona
FC Rastede e.V.,21,fc-rastede-ev,Germany,Rastede
FCR Bramsche,73,fcr-bramsche,Germany,Bramsche
FC Real Kreuth,31,fc-real-kreuth-096d7b4f,Germany,Kreuth
FC RedBoots,17,fc-divers,Unknown,
Redstar,24,fc-redstar-cheshire,Unknown,
Red Star Merl,126,fc-red-star-merl,Luxembourg,Merl
F.C. Red Star Zürich,251,fc-red-star-zurich-aktive,Switzerland,Zürich
FC REGALO,101,fc-regalo-c53ae5d2,Unknown,
FC Regensdorf,37,fc-regensdorf,Switzerland,Regensdorf
FC Reipas,164,fc-reipas-573f1836,Finland,Reipas
FC Reipas,164,fc-reipas-573f1836,Finland,Reipas
FC Renens,14,fc-renens-f1abc0a3,Switzerland,Renens
Walfer,20,fc-residence-walferdange-ad20a62f,Luxembourg,Walferdange
FC Revo,118,fc-revo,Unknown,
FC,16,fc-revolution-012f32a4,Unknown,
Revs,80,fc-revolution-f9615fb6,Unknown,
FC Revolution,12,fc-revolution-cb8881e4,Unknown,
FC Revolution Force,30,fc-revolution-force-07,United States,
FC Revolution,12,fc-revolution-cb8881e4,Unknown,
FC REZE,46,fc-reze-8d801ebb,France,Rezé
FC Rheinsüd,65,fc-rheinsud,Germany,Rheinsüd
Rheinsüd Köln,98,fc-rheinsud-koln-2010,Germany,Cologne
FC Rheinsüd Köln e.V.,11,fc-rheinsud-koln-ev,Germany,Cologne
FC Rhenania 1910 Immendorf e.V.,23,fc-rhenania-1910-immendorf-ev,Germany,Immendorf
FC RHEXIA-VESSY,12,fc-rhexia,Switzerland,Rhexia-Vessy
BLACK RHINOS,35,fc-rhinos,Unknown,
RC Richelle United,33,rc-richelle-united,Belgium,Richelle
FC Richemond,94,fc-richemond,Unknown,
FC Richmond,591,fc-richmond,United States,Richmond
Riddes,14,fc-riddes-4bfe5e3f,Switzerland,Riddes
FC Schwoich,105,fc-riederbau-schwoich,Austria,Schwoich
FC Rijnvogels,86,fc-rijnvogels-6bac389b,Netherlands,Rijnvogels
FC RIVE DROITE 33,39,fc-rive-droite-33,France,Rive Droite
FCRM,10,club-vizer-20,Unknown,
FC Rockers,42,fc-rockers,Unknown,
F.C. Rodange 91,23,fc-rodange-91,Luxembourg,Rodange
Rodina,66,fc-rodina,Unknown,
FC Rodina,14,alexey-2f0d1413,Unknown,
FC Rohr,75,fc-rohr-1928,Switzerland,Rohr
FC Rokycany,15,fc-rokycany-55e92104,Czech Republic,Rokycany
FC Rokycany,15,fc-rokycany-55e92104,Czech Republic,Rokycany
FC Romanshorn,29,fc-romanshorn-4223e764,Switzerland,Romanshorn
FC Rondo,39,fc-rondo,Unknown,
FC Rorschach-Goldach 17,34,fc-rorschach-goldach-17-4d78419a,Switzerland,Rorschach-Goldach
FC Rosengård,11,fcr,Sweden,Rosengård
FCR,38,fcr-ebedb220,Unknown,
FC Rosengarten e.V.,50,fc-rosengarten-ev,Germany,Rosengarten
FC Rotenberg,38,fc-rotenberg-854cd7d3,Germany,Rotenberg
Fc Rothrist,15,fc-rothrist-a-junioren,Switzerland,Rothrist
FC Rotkreuz,27,fc-rotkreuz,Switzerland,Rotkreuz
FC Rot Weiß Erfurt e.V. NachwuchsAkademie,132,fc-rot-wei-erfurt,Germany,Erfurt
FC Rot-Weiss Kirchlengern 1929 e.V.,14,fc-rot-weiss-kirchlengern-von-1929-ev,Germany,Kirchlengern
FC Rot-Weiss Koblenz,21,fc-rot-wei-koblenz-dea1672e,Germany,Koblenz
FC Rot-Weiß Koblenz,73,fc-rot-wei-koblenz,Germany,Koblenz
FC Rot-Weiss Koblenz e.V.,38,fc-rot-weiss-koblenz-ev,Germany,Koblenz
RWO,89,fc-rot-wei-oberfohring,Germany,
Rot-Weiß Oberföhring,149,fc-rot-wei-oberfohring-ev,Germany,Oberföhring
FC ROUEN,39,fc-rouen,France,Rouen
FC Rousset SVO,16,fc-rousset-svo,France,Rousset
FC ROVERS,57,swans,Unknown,
FCR U12,19,clermont-foot-63-bafbdb13,Unknown,
FC Rudersdal,170,rudersdal-boldklub,Denmark,Rudersdal
Dixie Flyers,31,dixie-flyers,United States,
90+,24,90,United States,
91 Carolina,180,91-carolina,United States,
956 United,112,956-united-girls-under-12,United States,
956 United 8a,154,956-united,United States,
970 SPORTS,92,sports-photo-video,United States,
a,15,a-067509ce,United States,
축구의신(A),556,fbe4,South Korea,
우리풋살파크(A),289,fbe3,South Korea,
A21,66,a21,United States,
A27.,99,a27-4920b862,United States,
A27 Talent Akademi,63,a27-talent-akademi-2378a091,United States,
A3,273,a3,United States,
A3,273,a3,United States,
A3 RANGERS,106,a3-rangers,United States,
A3 Soccer,15,a3-soccer-8cb94258,United States,
A3 Soccer,15,a3-soccer-8cb94258,United States,
aa,15,aa-fd56438a,United States,
A,20,aa,United States,
Aaaaa,44,aaaaa-2,United States,
AAA BLUES 2012 Hockey,16,aaa-blues-2012-hockey,United States,
AaB,1000,aab,Denmark,Aalborg
Aab af 1885,588,aab-1885,Denmark,
Aabenraa BK,25,aabenraa-boldklub-ee20b43a,Denmark,
AaBK,51,aabenraa-boldklub-de9ee04a,Denmark,
AaB kvinde/pige afd.,499,aab-kvindepige-afd,Denmark,Aalborg
Aabybro HK,209,test-fc-3,Denmark,
Aabybro IF,11,aabybro-if-a169e94a,Denmark,
Åbyhøj Basketball,22,aabyhoej-if-basketball,Denmark,
AAC Academy,212,aac-academy,United States,
AAC academy 2,91,aac-academy-343ab628,United States,
AAC Eagles Chicago Soccer Academy,274,aac-eagles-chicago-soccer-academy,United States,Chicago
AAC Rugby - VC2,29,aac-rugby-bdeee704,United States,
AAC Rugby - VC3,16,aac-rugby-new-software,United States,
AAE DORIGNIES DOUAI,38,us-mineurs-waziers,France,
A.A.F.C,190,sgrum018,United States,
AAFK Fortuna,22,aafk-fortuna-833ede8a,Norway,
Aakanden GF,44,aakanden-gf,Denmark,
Aalborg Chang,101,aalborg-chang-ca96868d,Denmark,Aalborg
Aalborg 1337,70,aalborg-1337-2,Denmark,Aalborg
Aalborg Freja,115,aalborg-freja,Denmark,Aalborg
AHK,22,aalborg-hk,United States,
Aalborg KFUM Fodbold,164,aalborg-kfum-fodbold-4,Denmark,Aalborg
AASI Håndbold,22,aalborg-studenternes-if,Denmark,
Huima,225,aanekosken-huima,Finland,
Aannemingsbedrijf Van der Meer B.V.,28,aannemingsbedrijf-van-der-meer-bv,Netherlands,
Aarhus 1900 Fodbold,88,aarhus-1900-fodbold,Denmark,Aarhus
Aarhus Black Vipers,74,aarhus-black-vipers,Denmark,Aarhus
Aarhus Fodbold Akademi,22,aarhus-fodbold-akademi,Denmark,Aarhus
Aarhus Fremad,406,aarhus-fremad-aps,Denmark,Aarhus
AGF,21,aarhus-gymnastik-forening-3,Denmark,Aarhus
Aarhus Rugby Klub,60,aarhus-rugby-klub-2,Denmark,Aarhus
BELSTONE FC,165,aaron-lincoln,England,
Aaron Rodriguez,261,fc-premier-women,United States,
Aaron's,23,mln-jh,United States,
A-Aron Veo,35,westerfield-family,United States,
Aars HK,195,aars-haandboldklub,Denmark,
Aars Idrætsklub,163,aars-idraetsklub,Denmark,
Aarup Boldklub Håndbold,170,aarup-bk-haandbold,Denmark,
Aaryav's Team,170,crossfire-premier-7,United States,
Aas Fresnes,25,aas-fresnes,Norway,
aas fresnes rugby,20,aas-fresnes-rugby,Norway,
aassbb,129,aas-sarcelles-basketball,United States,
AASS FOOTBALL,32,aass-football,United States,
AASS FOOTBALL,32,aass-football,United States,
AATA,60,aata,United States,
AAVSC - RECREATIONAL,185,adelaide-atletico-football-club,United States,
AB,10,ab-77,United States,
AB,10,ab-77,United States,
AB7,41,ab7-soccer-academy,United States,
Abadiño,30,abadino-ce079313,Spain,
Abambres Sport Club,61,abambres-sport-club,Spain,
Self-employed,74,self-employed,United States,
Abanto,15,federacion-vizcaina-de-futbol,Spain,
Abanto,15,federacion-vizcaina-de-futbol,Spain,
Abbey FC,95,abbey-fc,England,
Abbeyfeale RFC,40,abbeyfeale-rfc,Ireland,Abbeyfeale
Abbey Gate College,42,abbey-gate-college,England,
Abbey Hey Fc,179,abbey-hey-fc,England,
Abbey Hey JFC,26,abbey-hey-jfc,England,
Abbey Hulton Utd,19,abbey-hulton-utd,England,
Abbey lane jfc,15,abbey-lane-jfc-070c121c,England,
ARFC,146,arfc,United States,
Abbey rangers,82,abbey-rangers-fc-e69354dc,England,
Abbey Rangers,210,abbey-rangers-football-club,England,
Abbey RFC,60,abbey-rfc,England,
Abbeyview fc,10,antrim-eagles,Scotland,
Abbey Villa Football Club,68,abbey-villa-football-club,England,
Abbey Villa SC,10,abbey-villa-soccer-club,England,
Abbey Youth,13,abbey-youth-8fa0a849,England,
Pumas,25,abbey-youth-football-club,United States,
Abbey Youth Football Club,74,abbey-youth-football-club-b661895e,England,
Abbie C,58,atalanta-sports-fc,United States,
Abbotsford Rugby,178,abbotsford-rugby-football-club,Canada,Abbotsford
Abbotsford Soccer Association (ASA),19,abbotsford-soccer-association-asa,Canada,Abbotsford
Abbotsford Soccer Association BCSPL,10,abbotsford-soccer-association-bcspl,Canada,Abbotsford
Abbotsford United 2010 Selects,74,josephine-leonard,Canada,Abbotsford
ABC Braník,65,abc-branik-276d0470,Czech Republic,Prague
ABC-Team,37,abc-team,United States,
Iissi,35,abdelhadi-iissi,United States,
Abdi,12,abdinasir,United States,
El Farri,137,abdoulmajid,United States,
ABECAT OUVIDORENSE,12,abecat-ouvidorense-4e2666c7,Portugal,
Abed Gaouaou,15,abed-gaouaou,United States,
Abe Hurtado - East Valley 12/13 girls,40,new-east-valley-2012,United States,
AbelTech Photography,244,milan-academy-b07,United States,
Aberavon Green Stars RFC,80,aberavon-green-stars-rfc,Wales,Aberavon
Abercarn Rugby Football Club,50,abercarn-rugby-football-club,Wales,Abercarn
Forest Foundations LTD,71,forest-foundations-ltd,England,
Aber,56,abercrave-rfc-b59aa4d2,United States,
Abercynon RFC,67,abercynon-rfc-a782f37a,Wales,Abercynon
Aberdare RFC,32,aberdare-rugby-football-club,Wales,Aberdare
Aberdare Town,15,aberdare-town-d9b1c6fd,Wales,Aberdare
AFCL,17,aberdeen-fc-ladies,United States,
Aberdeen Football Club,38,aberdeen-ladies-football-club,Scotland,Aberdeen
Aberdeen Football Club,38,aberdeen-ladies-football-club,Scotland,Aberdeen
Aberdeen Futsal Academy,99,aberdeen-futsal-academy,Scotland,Aberdeen
Aberdeen Grammar RFC,27,aberdeen-grammar-rfc,Scotland,Aberdeen
Bobcats,30,aberdeen-high-school,United States,
Aberdeenshire Rugby Football Club,54,aberdeenshire-rugby-football-club,Scotland,Aberdeenshire
Aberdeen Wanderers,42,aberdeen-wanderers-rugby-football-club,Scotland,Aberdeen
Aberdeen West End,40,aberdeen-west-end,Scotland,Aberdeen
Aberfeldy RFC,26,aberfeldy-rugby-football-club-5c216940,Scotland,Aberfeldy
Abergavenny RFC,24,abergavenny-rfc-32702380,Wales,Abergavenny
Abergavenny Town,37,abergavenny-town-7d64f2cf,Wales,Abergavenny
abergavveny fc,14,abergavveny-fc,Wales,Abergavenny
Abergele Rugby Club,93,abergele-rugby-club,Wales,Abergele
Abernathy FC,86,abernathy-boys,Scotland,Abernathy
Abertillery BG,41,abertillery-bg-a6951858,Wales,Abertillery
Abertysswg falcons,26,abertysswg-falcons-rfc,Wales,Abertysswg
Aber Valley FC,54,aber-valley-fc-4432d31c,Wales,Aber Valley
Aber Valley Wolves,71,aber-valley-wolves-rugby-league-club,Wales,Aber Valley
Aberystwyth RFC,22,aberystwyth-rfc-1857a209,Wales,Aberystwyth
Aberystwyth RFC,22,aberystwyth-rfc-1857a209,Wales,Aberystwyth
Aberystwyth Town FC,186,aberystwyth-town-fc-2,Wales,Aberystwyth
ABHA CLUB,604,abha-club,Saudi Arabia,
Manly Allambie United,123,manly-allambie-united,Australia,
Abidjan City FC 2,228,abidjan-city-fc-2,Ivory Coast,Abidjan
Abilene,264,abilene-vaqueros-futbol-alliance,United States,
Abilene cooper high school soccer,31,abilene-cooper-high-school-soccer,United States,Abilene
AHS Girls Soccer,37,abilene-high-girls-soccer,United States,
Abingdon,34,abingdon-rugby,England,
Abingdon,34,abingdon-rugby,England,
Abingdon Town Ladies,52,abingdon-town-ladies,England,Abingdon
Abingdon United,159,abingdon-united,England,Abingdon
Abingdon United,159,abingdon-united,England,Abingdon
AHS,134,boston-bolts-11,United States,
Abington Soccer Club,38,abington-soccer-club,United States,
Abington Youth Football,27,abington-youth-football-6f2cfa54,United States,
Abinsay FC,612,florida-elite-soccer-academy-3,United States,
Lady Braves,88,abita-soccer-club,United States,
FF Jaro,262,ab-liga-jaro-oy,Finland,
Ablope,162,ablope,United States,
ABM FOOT,87,abm-foot-academy,United States,
ABNH,278,abnh,United States,
ÅIFK,218,aabo-ifk,Finland,
AX Basketball,17,above-xpectations-basketball,United States,
Abraham,57,abraham-9be7336d,United States,
Abraham Huerta,22,abraham-huerta,United States,
Abraham Soumare,25,swaroopa-desai,United States,
AbraySports,121,abraysports-football-club,United States,
ABS Bathmen,216,abs-bathmen,Netherlands,
Absegami High School Boys Soccer,12,absegami-high-school-boys-soccer,United States,
AB Tårnby,487,ab-taarnby,Denmark,
Abu Dhabi Harlequins,36,abu-dhabi-harlequins-rugby-club,United Arab Emirates,Abu Dhabi
AB Varsity,22,ab-varsity,United States,
Acacia Ridge FC,112,brisbane-hearts-united,Australia,Acacia Ridge
AAFP,198,academia-alemana-de-futbol-popayan,United States,
Atlas Tuxtla,34,academia-atlas-tuxtla-fc,Mexico,Tuxtla Gutierrez
Academia Atletico CBR,57,arturo-stieglitz,Brazil,
Academia Barca Bucuresti,15,fc-rapid,Romania,Bucharest
Academia CAI,49,acai,Spain,
Carmelo Dorta,13,cd-puerto-cruz,Spain,
Cfr Cluj,113,cfr-1907-cluj-napoca,Romania,Cluj-Napoca
Academia de Fotbal Radu Rebeja,332,academia-de-fotbal-radu-rebeja,Romania,
"Academia de Fotbal ""U"" Cluj - Luceafarul",91,academia-de-fotbal-u-cluj-luceafarul,Romania,Cluj-Napoca
Viitorul Cluj,197,academia-de-fotbal-viitorul-cluj,Romania,Cluj-Napoca
Academia de futbol chamaco guifarro,45,academia-de-futbol-chamaco-guifarro,Mexico,
Pumas,25,abbey-youth-football-club,United States,
Academia de fútbol Román torres,26,academia-de-futbol-roman-torres,Panama,
Academia Deportivo Cali USA,211,academia-deportivo-cali-usa,United States,
Academia de Real Internacional,30,academia-de-real-internacional,Mexico,
Academia FC,170,academia-football-club,United States,
ACADEMIA FUT,186,academia-fut,United States,
Academia Futbol Total,72,academia-de-futbol-total,United States,
Academia germana,18,academia-germana-de-fotbal-fdc92e9f,Germany,
Academia Germana,1055,academia-germana-de-fotbal,Germany,
Agf,18,academia-germana-de-fotbal-7c2d66d8,Denmark,
Academia Metodo Coira,130,academia-metodo-coira,Switzerland,Coira
Academia Metodo Coira,130,academia-metodo-coira,Switzerland,Coira
Academia Metodo Coira,130,academia-metodo-coira,Switzerland,Coira
Academia O 2013,126,academia-o-2013,United States,
ARQQOR,111,arqqor,United States,
Academia Politehnica Iasi,39,academia-politehnica-iasi,Romania,Iasi
Rayo Vallecano,521,rayo-vallecano-62403a82,Spain,Madrid
Atlas fc,174,dallas-texans-central,Mexico,Guadalajara
Academica SC,45,academica-soccer-club,Portugal,
Academic Magnet High School,91,academic-magnet-high-school,United States,
Académie Basga JO,37,academie-basga-jo,France,
AF St Christian-B,190,football-association-nyota,France,
Academie GFI,101,academie-gfi-531ca61e,France,
