Club_Name,Recordings,Website,Email,Phone,Status
FA START,4316,https://www.fastart.co.uk,info@fastart.co.uk,,Success
Midhurst,176,https://www.midhurstfc.com,midhurstfc@gmail.com,,Success
Fjellhamar FK,13,,,,No Website
Fjälkinge IF,24,,,,No Website
Fjölnir,23,,,,No Website
FIT Soccer,23,,,,No Website
Finesse,44,https://www.finesse.com,,,Success
Fire FC,139,https://www.firefc.com,contact@firefc.com,,Success
Fjordhus Reivers,11,,,,No Website
Firestorm FC,98,https://www.firestorm.com,,,Success
FK 03 Pirmasens e.V.,28,,,,No Website
Finesse,48,https://www.finesse.com,,,Success
Fjölnir - invite,15,,,,No Website
FK 03 Pirmasens Jugend,34,,,,No Website
Figtree Football Club,12,https://www.figtree.co.uk,,,Success
FFK,50,,,,No Website
Fjøra FK c/o Økonomiservice,119,,,,No Website
FC AHAL TURKMENISTAN,51,,,,No Website
Firhouse Carmel FC,29,https://www.firhousecarmel.com,firhousecarmelfc@gmail.com,,Success
Finborough school,200,https://www.finboroughschool.co.uk,admin@finboroughschool.co.uk,,Success
Reitz High School,58,,,,No Website
Fitzpatrick Family,71,,,,No Website
FK 1932 Hrušovany u Brna,29,,,,No Website
Fk Agro Vnorovy,29,,,,No Website
FK Akademija Pandev Brera Strumica,77,,,,No Website
FFF,23,,,,No Website
Fire fc,10,https://www.firefc.com,contact@firefc.com,,Success
FK Admira Praha 2009,61,,,,No Website
FK Apolonia,27,,,,No Website
FME,17,https://www.fme.com,,,Success
FK Admira Praha,29,,,,No Website
FITC Academy,80,https://www.fitc.co.uk,,,Success
FK Baník Most - Souš,115,,,,No Website
First Baptist Academy HS,201,https://www.firstbaptisths.com,fbchssecretary@gmail.com,,Success
Fire,35,https://www.firefc.com,contact@firefc.com,,Success
FK Älmeboda/Linneryd,80,,,,No Website
THE LIONS,17,https://www.thelions.com,,,Success
FME,99,https://www.fme.com,,,Success
FK Auda - 2.liga,33,,,,No Website
FK Borek,29,,,,No Website
"Gargždų ""Banga""",358,,,,No Website
Fk Bromma U15,84,,,,No Website
Fire FC,345,https://www.firefc.com,contact@firefc.com,,Success
FK Čechie Dubeč,25,,,,No Website
FHS - AA,12,https://www.fhsaa.com,bwaters@fhsaa.org,,Success
FK Baník Most-Souš,25,,,,No Website
Fit4U,17,https://www.fit4u.co.uk,,,Success
FIRE FC,83,https://www.firefc.com,contact@firefc.com,,Success
FFF Academy,60,,,,No Website
FK Benešov,239,,,,No Website
FK Bergen Nord,373,,,,No Website
FK Beograd,220,,,,No Website
FK Benešov,22,,,,No Website
Fjordager,15,https://www.fjordager.com,erik@fjordager.com,,Success
Fire,114,https://www.firefc.com,contact@firefc.com,,Success
FK Blansko,48,,,,No Website
FK Borac Banja Luka,169,,,,No Website
FK Dosta Bystrc-Kníničky,36,,,,No Website
FK Brandýs nad Labem,18,,,,No Website
Banik Sokolov,149,,,,No Website
FK Bílovec,24,,,,No Website
FK Bosna,34,,,,No Website
FK Bohemia Kaznějov,51,,,,No Website
FK Bromma,60,,,,No Website
FK Čáslav,113,,,,No Website
Brage Trondenes,14,,,,No Website
FK Baník  Most - Souš mládež z.s.,838,,,,No Website
FK Baník Sokolov 1948,25,,,,No Website
FK Brezno,11,,,,No Website
FK Chlumec nad Cidlinou,26,,,,No Website
FK Česká Třebová,82,,,,No Website
First Kick Academy,144,https://www.firstkick.co.uk,,01772428086,Success
First Team,29,https://www.firstteam.com,,,Success
FitzWilliams,95,,,,No Website
FK ČL Neštěmice,68,,,,No Website
FK DUKLA Praha,11,,,,No Website
FK Dobrovice,10,,,,No Website
Grandpa’s Soccer,218,,,,No Website
FiveZero,20,https://www.fivezero.com,,,Success
Fk Dukla Praha,59,,,,No Website
FK Duchcov,66,,,,No Website
FK Haugesund,929,,,,No Website
Dukla Praha,438,,,,No Website
FK Fyllingsdalen,304,,,,No Website
FK Frýdek Místek,237,,,,No Website
FK Eik Tønsberg,311,,,,No Website
FK Frýdek-Místek,11,,,,No Website
FK Hodonín A,30,,,,No Website
FK Hodonín,16,,,,No Website
FK Arsenal Česká Lípa,15,https://www.arsenal.com,,,Success
"VšĮ futbolo klubas ""Granitas"", 302587574",94,,,,No Website
FK Inter Bratislava,154,,,,No Website
FK Jedinstvo,14,,,,No Website
FK Hodonín dorost,102,,,,No Website
FK Jerv,386,,,,No Website
FK Humenné,48,,,,No Website
FK Drnovice,26,,,,No Website
FK JINOČANY,79,,,,No Website
FK Strakonice,79,,,,No Website
FK Jesenik,92,,,,No Website
FK Letohrad,18,,,,No Website
FK J. HRADEC 1910,10,,,,No Website
FK Mohelnice,25,,,,No Website
FK Jindřichův Hradec 1910,29,,,,No Website
FK KOMÁROV,18,,,,No Website
FK Meteor Tábor,81,,,,No Website
FK Králův Dvůr - FAČR,11,,,,No Website
FK Meteor Praha,10,,,,No Website
FK Loko Vltavín,30,,,,No Website
FKM DNV,150,,,,No Website
FK Mladá Boleslav,44,,,,No Website
FK Loko Praha,35,,,,No Website
FK MAKEDONIJA GP,40,,,,No Website
FK Mladá Boleslav,565,,,,No Website
FK Náchod,54,,,,No Website
FK KOZLOVICE,18,,,,No Website
FK Nepomuk,107,,,,No Website
FK Olešník,37,,,,No Website
Fjolnir,14,https://www.fjolnir.com,,,Success
FK Nový Jičín - FAČR,39,,,,No Website
FKM Stupava,53,,,,No Website
"ROBSON, s.r.o.",50,,,,No Website
FK Neratovice - Byškovice,210,,,,No Website
FK Motorlet Praha,39,,,,No Website
FK Mladcová,20,,,,No Website
Mjølner,81,,,,No Website
FK Nová Role,33,,,,No Website
tonsberg,14,,,,No Website
FK Nové Sady,21,,,,No Website
FK Nitra,31,,,,No Website
FK OFK Beograd,16,,,,No Website
FK Okula Nýrsko,13,,,,No Website
FK Nový Jičín,55,,,,No Website
Fk Ořechov,27,,,,No Website
FK OLE Sports W.L.L,40,,,,No Website
FK Olympie Týn n.Vltavou,46,,,,No Website
FK Pardubice,1065,,,,No Website
FK Neratovice-Byškovice,13,,,,No Website
FK Ostrov,27,,,,No Website
FK Panevėžys,33,,,,No Website
FK PARTIZAN Skola,1141,,,,No Website
FK Olympie Zdice,76,,,,No Website
FK Olimpik Macomb,22,,,,No Website
FK Pardubice,32,,,,No Website
La Roca Club,43,https://www.larocaclub.com,larocadance@yahoo.com,,Success
Five Stars,114,https://www.fivestars.com,sumup_connect_microsite_overview_relationships_matter_v01@2x.png,,Success
FK Rača,146,,,,No Website
FK Radnicki Novi Beograd,30,,,,No Website
Fenix Crew,193,https://www.fenixcrew.com,ventas@grupodisma.com.mx,,Success
Admira,88,https://www.admira.com,logo_cinesa@3x.png,,Success
Pohronie,297,,,,No Website
FK Přepeře,61,,,,No Website
FK Přelouč,55,,,,No Website
FK Podkonice,65,,,,No Website
FK Přepeře - FAČR,23,,,,No Website
Fire FC TW,215,https://www.firetw.com,,,Success
FK IMT,54,https://www.fkimt.com,omladinskafkimt@gmail.com,,Success
Fitch,48,,,,No Website
FK RADNIČKI 1905,74,,,,No Website
FK Renocar Podolí,21,,,,No Website
FK Protivín,98,,,,No Website
FK Primus Příbor,13,,,,No Website
FK Pohronie,375,,,,No Website
FK Petřvald na Moravě,11,,,,No Website
FK PŘÍBRAM,41,,,,No Website
FK Šardice,10,,,,No Website
FK Srbija Uzwil,12,,,,No Website
Sloga Doboj,32,,,,No Website
FK SK POLANKA,11,,,,No Website
FK TŘINEC - FAČR,24,,,,No Website
FKS Ukmerge,20,,,,No Website
FK Slavoj Český Krumlov,32,,,,No Website
FK Sokol Třebětice,33,,,,No Website
FK Spartak Dubnica a.s.,79,,,,No Website
FK Spartak Choceň,71,,,,No Website
FK Robstav,59,,,,No Website
Bolka,18,https://www.bolka.com,,,Success
FK Skalná,29,,,,No Website
FK Tachov,12,,,,No Website
FK Teplice,412,,,,No Website
FK Tatran Prachatice,11,,,,No Website
FK Šumperk,20,,,,No Website
Odsherred,60,,,,No Website
FK Ústí nad Labem - mládež FAČR1,60,,,,No Website
FK Tukums 2000,54,,,,No Website
FK TEPLICE - ČFL,54,,,,No Website
FKV Neu Ulm,21,,,,No Website
FK Železiarne Podbrezová,863,,,,No Website
FK ŠTERNBERK,20,,,,No Website
FK Třinec - mládež,62,,,,No Website
FK VIKTORIA ŽIŽKOV,34,,,,No Website
FK VIAGEM Usti nad Labem,125,,,,No Website
FK Turnov,22,,,,No Website
FK VIAGEM Ústí nad Labem FAČR,33,,,,No Website
Zlatna lopta,43,,,,No Website
FK Vidar,719,,,,No Website
FK Utenos Utenis,480,,,,No Website
Fisher FC,42,https://www.fisher.com,,,Success
"FK VIKTORIA ŽIŽKOV, a.s.",436,,,,No Website
Nathan Fisher,151,,,,No Website
Fitsport,170,https://www.fitsport.co.uk,,,Success
[FR],356,,,,No Website
Levice,403,,,,No Website
Flaktveit,119,,,,No Website
Flamborough Hockey Association,350,,,,No Website
Flag Star-New,284,,,,No Website
Mlada Boleslav,13,,,,No Website
Novaci,11,,,,No Website
FLAIRLINE OF CHINGFORD LTD,21,,,,No Website
MDULC/HAWKS,82,,,,No Website
Flash Binghamton,218,,,,No Website
Flandria Ravels,11,,,,No Website
Flash Cam,105,,,,No Website
Fisher Veo,372,https://www.fisher.com,,,Success
Club Social y Deportivo Flandria,22,,,,No Website
Fk Velez,68,,,,No Website
Flathead High school,61,,,,No Website
Fleetwood Town Sports College,66,,,,No Website
Flavia Gibson,188,,,,No Website
FK Crvena Zvezda,49,,,,No Website
Fleet Town Colts FC,16,,,,No Website
FGR Academy,22,https://www.fgr.com,admin@telepathy.com,,Success
Flaherty Soccer,242,,,,No Website
Fleetwood RUFC,60,,,,No Website
Flagler College,197,,,,No Website
Flagler College,296,,,,No Website
Fleetwood Town Juniors FC (FTJFC),236,,,,No Website
Fleetwood Town Community Sports College,73,,,,No Website
Fleet Town Dragons,62,,,,No Website
Fleetwood Town Wrens,17,,,,No Website
Fleming Athletic Mustangs,11,,,,No Website
Fløy IL,124,,,,No Website
Fleming Island High School,50,,,,No Website
FL Fart,169,,,,No Website
Flevo Boys 1,93,,,,No Website
Flemming Efterskole,36,,,,No Website
Flekkefjord FK,225,,,,No Website
Fleximize Sponsored,21,,,,No Website
Flasko,62,,,,No Website
Fletcher SC,132,,,,No Website
Foyer Laïques du Haut-Vernet,32,,,,No Website
Fløng-Hedehusene Fodbold,73,,,,No Website
Flag Star,115,,,,No Website
Floréal BCCA Neufchâteau,47,,,,No Website
Flint Fotball,452,,,,No Website
Flintridge Prep High School Girls Varsity Soccer,18,,,,No Website
Florence High School,75,,,,No Website
Floby-Grolanda IF,19,,,,No Website
Floda BoIF,339,,,,No Website
Flackwell Heath FC,105,,,,No Website
Fairview HS,15,,,,No Website
Floorball Club,25,,,,No Website
Ørn,189,,,,No Website
Flag,129,https://www.flag.com,,,Success
Florent DGB,35,,,,No Website
Florence Soccer Association,402,,,,No Website
Flatanger,82,https://www.flatanger.com,,,Success
Floreat Athena FC,177,,,,No Website
FK VARDAR,80,https://www.fkvardar.com,,,Success
Floreant,33,,,,No Website
Floriana FC Nursery,114,,,,No Website
FSSA,29,https://www.fssa.com,,,Success
FP Soccer,110,,,,No Website
25 Blue,42,,,,No Website
Flack,20,https://www.flack.com,,,Success
Florian Pinter,22,,,,No Website
Flatirons Rush,125,https://www.flatironsrush.com,,,Success
Florida Brothers,105,,,,No Website
FK Zemun,20,,,,No Website
Nestor,267,https://www.nestorfc.com,nestor@nestorfc.com,,Success
FLAIR FOR FOOTBALL,93,https://www.flairforfootball.com,20info@flairforfootball.com,,Success
FPC Bulldogs,129,https://www.fpcbulldogs.com,,,Success
FKM,198,https://www.fkm.com,asset-6@2x-80.jpg,,Success
Fleur De Lys RFC,47,https://www.fleurdelysrfc.com,,,Success
Flinders United,279,https://www.flinders.com,info@flinders.nl,,Success
Florida Cup 2021,47,,,,No Website
Flecha Negra,98,,,,No Website
Flecha Negra,13,,,,No Website
2012G ECNLRL Dev,67,,,,No Website
Fleury FC,275,https://www.fleuryfc.com,info@fleuryfc.com,,Success
Westchester,111,https://www.westchesterfc.com,,,Success
Florida Elite Boys 07,64,,,,No Website
Fleetdown United Football Club,123,,,,No Website
FLORIDA CF,49,,,,No Website
Flip,27,https://www.flip.co.uk,hello@flip.co.uk,,Success
Flint Mountain,63,https://www.flintmountainfc.co.uk,2431fa97889e4751b7ff02313b91d5a7@sentry.io,,Success
Fleetlands,139,https://www.fleetlandsfc.co.uk,,,Success
Florida Celtic 2012 Boys,103,https://www.celticfc.com,sign-for-celtic@2x.png,,Success
Fleetwood Town,43,https://www.fleetwoodfc.com,,,Success
Florida Elite Soccer Academy (2007 ECNL Boys),116,,,,No Website
FLG,19,,,,No Website
Florida Elite Tallahassee,218,,,,No Website
FK Karlskrona,208,,,,No Website
Celtic,162,https://www.celticfc.com,sign-for-celtic@2x.png,,Success
Arma,478,https://www.armafc.com,,,Success
FLEETWOOD UNITED,28,https://www.fleetwoodfc.com,,,Success
Flame FC,74,https://www.flame.com,,,Success
Florida Elite 2008G/2010G,278,,,,No Website
Florence Soccer,51,https://www.florencesoccer.com,,,Success
06 Boys ECNL,28,,,,No Website
Florida Elite,75,,,,No Website
Florida Elite Soccer Club,14,,,,No Website
Florida Elite Soccer Club,22,,,,No Website
Florida Celtic,161,https://www.celticfc.com,sign-for-celtic@2x.png,,Success
Florida elite,14,,,,No Website
FL Elite Tallahassee,30,,,,No Website
Florida Celtic SC,88,https://www.celticfc.com,sign-for-celtic@2x.png,,Success
Flores,53,https://www.floresfc.com,240391284_356240859470419_1562889274829055801_n_1280x@2x.jpg,,Success
Celtic,215,https://www.celticfc.com,sign-for-celtic@2x.png,,Success
Florida Celtic 2012 Girls,97,https://www.celticfc.com,sign-for-celtic@2x.png,,Success
Florence Soccer,16,https://www.florencesoccer.com,,,Success
Athena,260,https://www.athena.com,,,Success
FLF,145,https://www.flf.co.uk,sales@flf.co.uk,01708754874,Success
Florida Celtic,329,https://www.celticfc.com,sign-for-celtic@2x.png,,Success
Florida Elite,45,,,,No Website
Florida Elite,103,,,,No Website
Florida Elite,100,,,,No Website
Florida Celtic,225,https://www.celticfc.com,sign-for-celtic@2x.png,,Success
Florida Celtic,68,https://www.celticfc.com,sign-for-celtic@2x.png,,Success
RNYFC,172,https://www.rnyfc.com,,,Success
FPC,37,https://www.fpc.co.uk,fpc-logo-dark-357x100-@2x.png,01704571777,Success
FESA,165,,,,No Website
Florida Evolution FC,56,,,,No Website
Flight Prep,158,,,,No Website
FESA,68,,,,No Website
Fesa,18,,,,No Website
Flagstaff Revolution,53,,,,No Website
Florida Elite Soccer Academy,902,,,,No Website
FKF,14,https://www.fkf.com,admin@telepathy.com,,Success
Florida elite soccer,15,,,,No Website
Florida elite soccer academy,22,,,,No Website
Florida College,73,,,,No Website
Florida Elite,86,,,,No Website
Florida Elite Soccer Academy,15,,,,No Website
Fleet Spurs,16,https://www.fleetspurs.co.uk,,,Success
FVU,183,https://www.fvu.co.uk,admin@fvu.co.uk,01156860699,Success
FK05,53,,,,No Website
FCL,46,,,,No Website
Florida Coastal Prep,71,https://www.floridacoastalprep.com,info@floridacoastalprep.com,,Success
